"instance","seed","enforce_time_windows","algo","neighborhood_family","inter_type","sa_initial_temp","sa_cooling_rate","tabu_tenure","iterations","penalty_weight"
"data/data101.vrp","41","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","41","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","41","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","41","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","42","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","42","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","42","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","42","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","43","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","43","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","43","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","43","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","44","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","44","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","44","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","44","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","45","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","45","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","45","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data101.vrp","45","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","41","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","41","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","41","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","41","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","42","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","42","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","42","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","42","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","43","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","43","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","43","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","43","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","44","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","44","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","44","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","44","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","45","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","45","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","45","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data111.vrp","45","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","41","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","41","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","41","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","41","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","42","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","42","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","42","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","42","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","43","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","43","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","43","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","43","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","44","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","44","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","44","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","44","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","45","non","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","45","non","tabu","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","45","oui","sa","inter","relocate","1250","0,9993","40","100000","1000"
"data/data201.vrp","45","oui","tabu","inter","relocate","1250","0,9993","40","100000","1000"
