instance,algorithm,enforce_time_windows,mean_sec,median_sec,std_sec,min_sec,max_sec
data101.vrp,SA,False,0.08967,0.085,0.03393,0.046,0.206
data101.vrp,SA,True,0.11972,0.095,0.06598000000000001,0.045,0.232
data101.vrp,TABU,False,1139.82496,262.245,6488.6894,11.816,59888.616
data101.vrp,TABU,True,604.2635,413.517,493.82165000000003,128.619,1433.324
data111.vrp,SA,False,0.10378,0.0815,0.0576,0.047,0.232
data111.vrp,SA,True,0.1075,0.0835,0.062079999999999996,0.042,0.2
data111.vrp,TABU,False,375.27529,252.189,331.79709,83.794,885.534
data111.vrp,TABU,True,478.13769,314.075,404.48303999999996,102.821,1060.629
data201.vrp,SA,True,0.097,0.097,,0.097,0.097
data201.vrp,TABU,True,566.007,566.007,,566.007,566.007
