instance,algorithm,enforce_time_windows,count,mean,std,min,max,median
data101.vrp,SA,False,94,1203.2716,221.9165,921.9093,1792.6022,1115.0517
data101.vrp,SA,True,36,2073.3873,235.0078,1820.5112,2529.8095,1993.2396
data101.vrp,TABU,False,85,1071.7147,245.3239,873.5485,1867.6089,996.2619
data101.vrp,TABU,True,36,1791.7237,28.7094,1741.0873,1827.5236,1802.0722
data111.vrp,SA,False,18,1202.1051,213.0398,921.9093,1577.6357,1159.9365
data111.vrp,SA,True,16,1420.2899,242.3078,1136.0113,1856.6781,1320.169
data111.vrp,TABU,False,17,968.5447,52.3942,884.7294,1040.3259,993.4907
data111.vrp,TABU,True,16,1209.85,31.9151,1176.1486,1265.4527,1211.5531
data201.vrp,SA,True,1,1471.7669,,1471.7669,1471.7669,1471.7669
data201.vrp,TABU,True,1,1311.896,,1311.896,1311.896,1311.896
