source_dir,timestamp,instance,algorithm,best_objective,best_distance,time_violation,capacity_violation,vehicle_violation,routes,runtime_ms,solutions_evaluated,penalty_weight,enforce_time_windows,parameters,feasible
resultsSA/Exp1,2026-04-22 17:18:14,data101.vrp,sa,2012.222899790244,2012.222899790244,0.0,0.0,0.0,25,199,30001,1000.0,True,iterations=30000; seed=66571993099; initialTemp=500.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,True
resultsSA/Exp10,2026-04-22 19:46:00,data101.vrp,sa,1128.6459048012323,1128.6459048012323,15171.367422795964,0.0,0.0,8,84,30001,1000.0,False,iterations=30000; seed=66571993098; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp11,2026-04-22 19:46:01,data101.vrp,sa,1071.91270895579,1071.91270895579,14913.64497771768,0.0,0.0,8,84,30001,1000.0,False,iterations=30000; seed=66571993098; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp12,2026-04-22 19:46:01,data101.vrp,sa,1235.4350234613469,1235.4350234613469,15271.618187781623,0.0,0.0,8,84,30001,1000.0,False,iterations=30000; seed=66571993098; initialTemp=1250.0; coolingRate=0.9997; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp13,2026-04-22 19:46:02,data101.vrp,sa,1185.909407571988,1185.909407571988,13484.439647911497,0.0,0.0,8,88,30001,1000.0,False,iterations=30000; seed=66571993098; initialTemp=1400.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp14,2026-04-23 12:37:03,data101.vrp,sa,1084.976561450762,1084.976561450762,14399.181179897225,0.0,0.0,8,88,30001,1000.0,False,iterations=30000; seed=66571993099; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp15,2026-04-23 12:37:04,data101.vrp,sa,1435.0581331632093,1435.0581331632093,17157.69897528099,0.0,0.0,8,71,30001,1000.0,False,iterations=30000; seed=66571993099; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=exchange; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp16,2026-04-23 12:37:04,data101.vrp,sa,1739.7463882216812,1739.7463882216812,19345.36801686132,0.0,0.0,8,61,30001,1000.0,False,iterations=30000; seed=66571993099; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=2opt; vehicleLimit=2147483647,False
resultsSA/Exp17,2026-04-23 12:43:33,data101.vrp,sa,1104.8915489489427,1104.8915489489427,14556.075136418396,0.0,0.0,8,87,30001,1000.0,False,iterations=30000; seed=66571993099; initialTemp=1000.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp18,2026-04-23 12:43:34,data101.vrp,sa,938.9377983786368,938.9377983786368,12253.687914135138,0.0,0.0,8,88,30001,1000.0,False,iterations=30000; seed=66571993099; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp19,2026-04-23 12:43:34,data101.vrp,sa,1084.976561450762,1084.976561450762,14399.181179897225,0.0,0.0,8,86,30001,1000.0,False,iterations=30000; seed=66571993099; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
